0;0;0;0;land;false;unknown;0
1;176;235;220;land;false;forest;1
2;244;213;73;land;true;plains;1
3;181;140;227;land;false;mountain;1
4;251;233;64;land;false;desert;1
5;253;29;240;land;false;plains;1
6;83;231;204;land;false;forest;1
7;145;235;186;land;false;plains;1
8;224;190;247;land;false;desert;1
9;252;74;240;land;false;plains;1
10;76;239;191;land;false;mountain;1
11;252;165;130;land;false;forest;1
12;75;223;225;land;false;mountain;1
13;254;163;118;land;false;jungle;1
14;245;232;103;land;false;forest;1
15;234;131;208;land;false;jungle;1
16;145;210;222;land;false;mountain;1
17;129;202;246;land;false;marsh;1
18;180;219;225;land;false;plains;1
19;155;168;233;land;false;forest;1
20;236;230;184;land;false;desert;1
21;223;181;112;land;false;desert;1
22;252;179;82;land;false;mountain;1
23;243;250;33;land;false;mountain;1
24;186;170;194;land;false;plains;1
25;211;197;130;land;false;desert;1
26;151;217;215;land;false;forest;1
27;223;224;244;land;false;forest;1
28;165;254;152;land;false;forest;1
29;243;194;161;land;true;hills;1
30;238;254;133;land;false;mountain;1
31;236;223;217;land;false;marsh;1
32;235;131;194;land;true;mountain;1
33;109;249;231;land;false;plains;1
34;210;173;152;land;false;hills;1
35;187;243;188;land;false;mountain;1
36;233;197;249;land;false;mountain;1
37;131;184;188;land;true;hills;1
38;138;218;251;land;false;mountain;1
39;243;126;238;land;false;desert;1
40;253;233;226;land;false;jungle;1
41;168;207;222;land;false;plains;1
42;107;207;224;land;false;mountain;1
43;62;194;251;land;false;marsh;1
44;167;200;210;land;false;jungle;1
45;245;225;196;land;false;marsh;1
46;171;210;129;land;true;plains;1
47;213;248;144;land;false;forest;1
48;172;190;213;land;false;mountain;1
49;220;171;149;land;false;desert;1
50;144;164;197;land;false;plains;1
51;122;240;235;land;false;hills;1
52;191;170;224;land;false;plains;1
53;153;218;175;land;false;forest;1
54;182;121;218;land;false;marsh;1
55;251;208;216;land;false;jungle;1
56;93;241;253;land;false;mountain;1
57;52;216;235;land;true;forest;1
58;243;149;249;land;false;mountain;1
59;248;116;241;land;false;desert;1
60;197;180;158;land;false;forest;1
61;128;239;197;land;false;hills;1
62;215;175;200;land;false;mountain;1
63;241;235;167;land;false;hills;1
64;203;219;187;land;false;hills;1
65;229;165;188;land;false;desert;1
66;171;236;128;land;false;plains;1
67;220;196;175;land;false;jungle;1
68;226;214;167;land;false;mountain;1
69;192;199;203;land;false;forest;1
70;164;172;186;land;false;hills;1
71;201;234;191;land;false;forest;1
72;214;197;230;land;true;mountain;1
73;177;160;204;land;false;hills;1
74;200;232;175;land;true;hills;1
75;174;153;175;land;false;plains;1
76;125;186;191;land;true;hills;1
77;240;169;115;land;false;plains;1
78;197;126;240;land;false;hills;1
79;136;204;207;land;false;marsh;1
80;251;238;77;land;false;plains;1
81;205;216;165;land;false;desert;1
82;245;120;186;land;false;jungle;1
83;242;224;154;land;false;mountain;1
84;207;220;197;land;false;mountain;1
85;193;206;116;land;true;hills;1
86;249;129;170;land;false;mountain;1
87;107;192;203;land;false;forest;1
88;148;224;235;land;false;mountain;1
89;249;119;157;land;true;jungle;1
90;169;178;181;land;false;plains;1
91;242;195;161;land;true;plains;1
92;239;204;135;land;false;forest;1
93;239;48;234;land;false;marsh;1
94;182;158;221;land;false;plains;1
95;180;208;253;land;true;forest;1
96;165;238;193;land;false;forest;1
97;236;154;166;land;true;mountain;1
98;252;229;44;land;false;plains;1
99;162;235;226;land;false;desert;1
100;183;232;193;land;false;forest;1
101;248;124;171;land;false;plains;1
102;67;250;213;land;false;forest;1
103;234;209;194;land;false;plains;1
104;244;86;228;land;false;desert;1
105;165;153;240;land;false;jungle;1
106;221;104;217;land;false;forest;1
107;249;103;150;land;true;plains;1
108;204;228;189;land;false;forest;1
109;237;168;224;land;false;plains;1
110;160;170;196;land;true;plains;1
