22;floating_harbor;2874.13;9.50;1381.05;-3.27;11877
29;floating_harbor;2825.74;9.50;1536.13;1.11;11548
132;floating_harbor;2725.00;9.50;1612.00;1.14;6384
272;floating_harbor;2513.00;9.50;868.00;1.19;12834
311;floating_harbor;1433.00;9.50;1146.00;-1.57;2077
327;floating_harbor;4704.70;9.50;861.21;-2.90;12236
592;floating_harbor;4570.20;9.50;996.40;-2.50;11938
709;floating_harbor;3683.00;9.50;585.00;0.00;2188
817;naval_base;4172.00;9.70;1041.00;1.57;10492
817;naval_base;4147.00;9.68;1060.00;-3.39;10492
817;naval_base;4171.00;9.50;1030.00;1.11;10492
817;naval_base;4170.00;9.50;1063.00;-3.73;10492
817;naval_base;4141.00;9.57;1063.00;-3.61;10492
817;naval_base;4156.00;9.73;1061.00;-3.39;10492
817;naval_base;4175.00;9.70;1057.00;-4.33;10492
815;naval_base;4162.00;9.50;1078.00;0.46;10492
815;naval_base;4149.00;9.50;1079.00;0.32;10492
815;naval_base;4144.00;9.50;1073.00;0.79;10492
815;naval_base;4136.00;9.70;1070.00;0.98;10492
305;naval_base;2899.00;9.50;1561.00;-1.25;4322
305;naval_base;2913.00;9.50;1556.00;-2.36;4322
305;naval_base;2937.00;9.50;1568.00;-3.46;4592
305;naval_base;2918.00;9.62;1550.00;-2.90;4322
305;naval_base;2915.00;9.50;1548.00;-1.89;4322
305;naval_base;2916.00;9.70;1538.00;-2.68;4322
305;naval_base;2944.00;9.50;1567.00;-3.39;4592
305;naval_base;2923.00;9.50;1557.00;-2.90;4322
305;naval_base;2927.00;9.50;1554.00;-1.57;4322
347;naval_base;3016.00;9.50;1574.00;-1.57;4941
344;naval_base;3005.00;9.73;1560.00;-3.93;4941
344;naval_base;3031.00;9.62;1560.00;-2.03;4941
344;naval_base;3012.00;9.60;1561.00;-3.14;4941
344;naval_base;2996.00;9.73;1563.00;-2.36;4941
344;naval_base;3031.00;9.80;1567.00;-4.25;5281
344;naval_base;3029.00;9.50;1559.00;-2.94;4941
344;naval_base;3034.00;9.78;1556.00;-3.39;5281
344;naval_base;3019.00;9.70;1561.00;-3.34;4941
344;naval_base;2992.00;9.50;1557.00;-2.21;4941
344;naval_base;3041.00;9.60;1558.00;-2.60;5281
330;naval_base;2949.00;9.50;1569.00;-3.46;4592
330;naval_base;2976.00;9.80;1574.00;-3.93;4941
330;naval_base;2961.00;9.95;1569.00;-3.14;4592
330;naval_base;2958.00;9.57;1582.00;0.00;4592
330;naval_base;2961.00;9.50;1588.00;-2.55;4592
330;naval_base;2968.00;9.50;1571.00;-1.57;4592
330;naval_base;2990.00;9.73;1556.00;-4.33;4941
330;naval_base;2987.00;9.50;1571.00;-4.12;4941
330;naval_base;2965.00;9.50;1572.00;-0.32;4592
330;naval_base;2966.00;9.68;1583.00;-2.90;4941
330;naval_base;2977.00;9.68;1583.00;-3.61;4941
304;naval_base;2903.00;9.73;1540.00;-3.14;4322
304;naval_base;2898.00;9.73;1539.00;-3.14;4322
304;naval_base;2911.00;9.75;1538.00;-3.46;4322
297;naval_base;2891.00;9.85;1536.00;-2.82;4322
297;naval_base;2881.00;9.70;1536.00;-3.14;4322
297;naval_base;2864.00;9.62;1525.00;-2.03;4038
297;naval_base;2877.00;9.70;1536.00;-3.82;4322
297;naval_base;2867.00;9.70;1532.00;-3.14;4322
